/home/tiago/UA/3 Ano/1 Semestre/CSLP/Projeto/resources/videos/in_to_tree_444_720p50.y4m,8,24,60,0,0,0,41.1011106967926,inf,1.7824055442922833
/home/tiago/UA/3 Ano/1 Semestre/CSLP/Projeto/resources/videos/in_to_tree_444_720p50.y4m,8,24,60,0,1,1,39.919363260269165,52.903024,2.069366398286722
/home/tiago/UA/3 Ano/1 Semestre/CSLP/Projeto/resources/videos/in_to_tree_444_720p50.y4m,8,24,60,1,1,1,39.27667570114136,51.142002,2.2571018285854576
/home/tiago/UA/3 Ano/1 Semestre/CSLP/Projeto/resources/videos/in_to_tree_444_720p50.y4m,8,24,60,0,2,2,36.878350496292114,44.452265,2.423082105984649
/home/tiago/UA/3 Ano/1 Semestre/CSLP/Projeto/resources/videos/in_to_tree_444_720p50.y4m,8,24,60,1,2,2,37.4504656791687,44.152596,2.684536005149202
/home/tiago/UA/3 Ano/1 Semestre/CSLP/Projeto/resources/videos/in_to_tree_444_720p50.y4m,8,24,60,2,2,2,37.69403910636902,42.691188,2.9895036818909344
/home/tiago/UA/3 Ano/1 Semestre/CSLP/Projeto/resources/videos/in_to_tree_444_720p50.y4m,8,24,60,0,3,3,40.08563685417175,37.582980,2.741208528921622
/home/tiago/UA/3 Ano/1 Semestre/CSLP/Projeto/resources/videos/in_to_tree_444_720p50.y4m,8,24,60,1,3,3,40.3306610584259,37.519650,3.0806300002855993
/home/tiago/UA/3 Ano/1 Semestre/CSLP/Projeto/resources/videos/in_to_tree_444_720p50.y4m,8,24,60,2,3,3,39.094902753829956,37.157922,3.489076861145324
/home/tiago/UA/3 Ano/1 Semestre/CSLP/Projeto/resources/videos/in_to_tree_444_720p50.y4m,8,24,60,3,3,3,37.585357904434204,35.782373,3.944459484692198
/home/tiago/UA/3 Ano/1 Semestre/CSLP/Projeto/resources/videos/in_to_tree_444_720p50.y4m,8,24,60,0,4,4,42.263956785202026,30.934376,2.90502655235502
/home/tiago/UA/3 Ano/1 Semestre/CSLP/Projeto/resources/videos/in_to_tree_444_720p50.y4m,8,24,60,1,4,4,36.905332803726196,30.920596,3.289070560572498
/home/tiago/UA/3 Ano/1 Semestre/CSLP/Projeto/resources/videos/in_to_tree_444_720p50.y4m,8,24,60,2,4,4,35.68034291267395,30.838826,3.758874393616366
/home/tiago/UA/3 Ano/1 Semestre/CSLP/Projeto/resources/videos/in_to_tree_444_720p50.y4m,8,24,60,3,4,4,32.9101676940918,30.476648,4.29279447089288
/home/tiago/UA/3 Ano/1 Semestre/CSLP/Projeto/resources/videos/in_to_tree_444_720p50.y4m,8,24,60,4,4,4,35.03330397605896,29.213167,4.696421457021873
/home/tiago/UA/3 Ano/1 Semestre/CSLP/Projeto/resources/videos/in_to_tree_444_720p50.y4m,8,32,10,0,0,0,40.594523429870605,inf,1.7891512279027626
/home/tiago/UA/3 Ano/1 Semestre/CSLP/Projeto/resources/videos/in_to_tree_444_720p50.y4m,8,32,10,0,1,1,37.65964913368225,52.903258,2.078220287258
/home/tiago/UA/3 Ano/1 Semestre/CSLP/Projeto/resources/videos/in_to_tree_444_720p50.y4m,8,32,10,1,1,1,36.73251223564148,51.142277,2.2677964607806858
/home/tiago/UA/3 Ano/1 Semestre/CSLP/Projeto/resources/videos/in_to_tree_444_720p50.y4m,8,32,10,0,2,2,35.75711989402771,44.451479,2.4355751959706993
/home/tiago/UA/3 Ano/1 Semestre/CSLP/Projeto/resources/videos/in_to_tree_444_720p50.y4m,8,32,10,1,2,2,35.60476756095886,44.151886,2.7001021286383327
/home/tiago/UA/3 Ano/1 Semestre/CSLP/Projeto/resources/videos/in_to_tree_444_720p50.y4m,8,32,10,2,2,2,35.088329792022705,42.690799,3.0084837837422347
/home/tiago/UA/3 Ano/1 Semestre/CSLP/Projeto/resources/videos/in_to_tree_444_720p50.y4m,8,32,10,0,3,3,36.9357385635376,37.530925,2.7515163441064887
